pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
51.0,-97.6,0.0,top,SW3,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
81.6,-97.6,0.0,top,SW30,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
81.6,-105.8,0.0,top,SW31,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
81.6,-114.0,0.0,top,SW32,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
81.6,-122.2,0.0,top,SW33,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
81.6,-130.4,0.0,top,SW34,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
88.8,-139.5,0.0,top,SW35,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
88.8,-149.5,0.0,top,SW36,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
88.8,-159.5,0.0,top,SW37,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
88.8,-169.5,0.0,top,SW38,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
91.8,-97.6,0.0,top,SW39,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.0,-105.8,0.0,top,SW4,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
91.8,-105.8,0.0,top,SW40,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
91.8,-114.0,0.0,top,SW41,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
91.8,-122.2,0.0,top,SW42,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
96.9,-130.4,0.0,top,SW43,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
101.1,-139.5,0.0,top,SW44,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
101.1,-149.5,0.0,top,SW45,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
101.1,-159.5,0.0,top,SW46,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
101.1,-169.5,0.0,top,SW47,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
102.0,-97.6,0.0,top,SW48,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
102.0,-105.8,0.0,top,SW49,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.0,-114.0,0.0,top,SW5,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
102.0,-114.0,0.0,top,SW50,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
102.0,-122.2,0.0,top,SW51,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.0,-122.2,0.0,top,SW6,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.0,-130.4,0.0,top,SW7,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.9,-139.5,0.0,top,SW8,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
51.9,-149.5,0.0,top,SW9,,,SW_SPST_EVQQ2,EVPBT1C4A000,smt
78.9,-61.9,90.0,top,U1,,,LQFP64_STM,STM32U385RGT6Q,smt
88.9,-80.25,0.0,top,U2,,,Texas_R-PDSO-G6,TPS61299,smt
100.3,-66.1,0.0,top,U3,,,SOP_8L_200_MAC,MX25R6435FM2IL0,smt
105.7,-58.7,0.0,top,U4,,,DBV0005A_N,TLV73333PDBVR,smt
105.974,-78.1375,180.0,top,U5,,,SC70-6_DCK_TEX,LM66100QDCKRQ1,smt
105.9125,-82.1625,180.0,top,U6,,,SC70-6_DCK_TEX,LM66100QDCKRQ1,smt
100.95,-81.8875,90.0,top,U7,,,DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm,NBM5100A,smt
78.7,-72.9,180.0,top,Y1,,,Crystal_SMD_2012-2Pin_2.0x1.2mm_HandSoldering,32768 Hz,smt
